Date,CustomerID,ProductID,Quantity,UnitPrice,Cost,Region,Category,Revenue,Profit,Year,Month,YearMonth
2023-04-13,1051,47,1,288.0964704471973,250.88964188092524,West,Clothing,288.0964704471973,37.206828566272065,2023,4,2023-04
2023-12-15,1019,13,5,444.2915130012432,1382.3592314519228,East,Furniture,2221.457565006216,839.0983335542933,2023,12,2023-12
2023-09-28,1031,40,1,258.1224233055972,84.5980736139228,East,Food,258.1224233055972,173.5243496916744,2023,9,2023-09
2023-04-17,1013,25,7,175.7490900061524,1236.1753827219331,North,Food,1230.2436300430668,-5.93175267886636,2023,4,2023-04
2023-03-13,1049,4,8,153.9348566972142,1615.7017798774375,East,Food,1231.4788535777136,-384.2229262997239,2023,3,2023-03
2023-07-08,1027,42,3,443.41334450795125,512.6802542347143,North,Clothing,1330.2400335238538,817.5597792891394,2023,7,2023-07
2023-01-21,1052,19,3,126.95488448820278,441.60187929950484,South,Furniture,380.86465346460835,-60.73722583489649,2023,1,2023-01
2023-04-13,1023,18,7,241.64085239741468,572.8337060739595,West,Furniture,1691.4859667819028,1118.6522607079432,2023,4,2023-04
2023-05-02,1078,37,4,134.22790171712614,647.2769079351776,East,Clothing,536.9116068685046,-110.36530106667306,2023,5,2023-05
2023-08-03,1021,30,3,397.9868180514689,414.9840104461764,North,Furniture,1193.9604541544068,778.9764437082304,2023,8,2023-08
2023-11-27,1029,19,8,263.4676879885785,1958.4168630049026,South,Food,2107.741503908628,149.3246409037256,2023,11,2023-11
2023-03-29,1062,23,3,208.0146607505654,708.5195309220261,East,Furniture,624.0439822516962,-84.47554867032989,2023,3,2023-03
2024-01-08,1003,16,7,212.49483828191006,463.2575074787177,North,Clothing,1487.4638679733705,1024.206360494653,2024,1,2024-01
2023-04-10,1076,1,2,433.49639302534075,107.80028838405649,North,Clothing,866.9927860506815,759.1924976666251,2023,4,2023-04
2023-12-26,1058,12,1,299.19827943249715,275.2015646714258,South,Electronics,299.19827943249715,23.99671476107136,2023,12,2023-12
2023-06-01,1086,24,6,373.0405330090686,1047.5235901224862,East,Electronics,2238.2431980544116,1190.7196079319253,2023,6,2023-06
2023-05-11,1007,34,8,453.667332312808,2092.850024530396,East,Furniture,3629.338658502464,1536.4886339720683,2023,5,2023-05
2023-05-30,1081,8,1,455.7837542182889,45.70080255292831,West,Furniture,455.7837542182889,410.0829516653606,2023,5,2023-05
2023-11-05,1011,18,9,197.8290744520384,1549.4329481475613,East,Clothing,1780.4616700683457,231.0287219207844,2023,11,2023-11
2023-09-15,1030,48,3,478.6030684158734,526.9354768067515,North,Electronics,1435.8092052476202,908.8737284408687,2023,9,2023-09
2023-12-10,1077,5,3,61.19414690657245,787.1686463591415,West,Electronics,183.58244071971734,-603.5862056394242,2023,12,2023-12
2023-10-21,1033,26,4,219.57600245727454,225.41879808808412,West,Food,878.3040098290982,652.885211741014,2023,10,2023-10
2024-01-21,1081,30,1,453.1094858789787,94.92030219249551,East,Food,453.1094858789787,358.1891836864832,2024,1,2024-01
2023-07-11,1097,13,9,173.5865959176423,1257.888102745442,West,Clothing,1562.279363258781,304.3912605133389,2023,7,2023-07
2023-10-04,1074,19,3,172.88665264459325,791.3315950901532,North,Clothing,518.6599579337798,-272.67163715637344,2023,10,2023-10
2023-06-10,1075,29,4,186.18002828684993,1133.9939802762124,North,Clothing,744.7201131473997,-389.27386712881264,2023,6,2023-06
2023-11-10,1048,3,1,325.541023181115,298.03564729027954,South,Clothing,325.541023181115,27.505375890835467,2023,11,2023-11
2023-01-22,1078,26,4,247.2497490264592,1155.9289653752032,North,Electronics,988.9989961058368,-166.92996926936644,2023,1,2023-01
2023-09-10,1056,40,1,377.03067635900413,31.604274077975692,South,Clothing,377.03067635900413,345.42640228102846,2023,9,2023-09
2023-08-24,1094,12,5,452.7097891540996,214.40626096272726,West,Clothing,2263.548945770498,2049.142684807771,2023,8,2023-08
2023-12-11,1092,2,5,353.38971872428726,349.2692058627447,South,Electronics,1766.9485936214364,1417.6793877586917,2023,12,2023-12
2023-02-18,1025,11,7,142.01002408890898,869.3493628958162,East,Food,994.0701686223629,124.7208057265467,2023,2,2023-02
2023-02-28,1017,44,8,469.706856062226,2032.6229469318307,South,Clothing,3757.654848497808,1725.0319015659773,2023,2,2023-02
2023-06-19,1095,28,4,169.02179300636533,1084.068690962319,East,Food,676.0871720254613,-407.9815189368576,2023,6,2023-06
2023-07-07,1085,18,7,117.45243289767116,563.117027896762,West,Electronics,822.1670302836981,259.05000238693606,2023,7,2023-07
2023-09-28,1037,13,4,90.4852754874324,789.2372837492853,South,Food,361.9411019497296,-427.2961817995557,2023,9,2023-09
2023-07-09,1080,37,3,303.52268329977454,833.0632079028741,North,Electronics,910.5680498993236,77.5048419964495,2023,7,2023-07
2023-06-24,1086,22,6,101.19310811629332,931.2454122087397,East,Clothing,607.1586486977599,-324.08676351097984,2023,6,2023-06
2023-02-20,1087,12,4,112.44914785068384,231.82705770900668,West,Food,449.7965914027354,217.9695336937287,2023,2,2023-02
2023-12-30,1049,2,3,185.01371626797348,460.8290565685462,North,Clothing,555.0411488039205,94.21209223537426,2023,12,2023-12
2023-02-24,1007,37,9,176.74385435800872,1183.1816125599792,East,Furniture,1590.6946892220785,407.51307666209937,2023,2,2023-02
2023-09-01,1040,7,5,321.90777964946403,929.8382946891094,West,Furniture,1609.53889824732,679.7006035582107,2023,9,2023-09
2023-11-16,1005,26,7,417.5353757627067,1039.064913529426,West,Food,2922.7476303389467,1883.6827168095208,2023,11,2023-11
2023-05-11,1068,26,6,392.6073452913016,208.10040150302308,North,Electronics,2355.64407174781,2147.543670244787,2023,5,2023-05
2023-11-03,1043,24,5,168.11800462241453,1491.8969401084562,West,Food,840.5900231120727,-651.3069169963835,2023,11,2023-11
2023-05-15,1063,12,7,160.38972409369097,1237.291049310779,South,Electronics,1122.7280686558368,-114.5629806549423,2023,5,2023-05
2023-01-21,1028,16,6,484.60618854813544,947.2818238850675,West,Furniture,2907.6371312888127,1960.3553074037452,2023,1,2023-01
2023-11-25,1027,23,2,53.706308716382054,575.4933806121892,East,Electronics,107.41261743276411,-468.08076317942505,2023,11,2023-11
2023-06-16,1010,40,3,445.8742398770971,216.24689774553246,East,Furniture,1337.6227196312914,1121.3758218857588,2023,6,2023-06
2023-10-01,1064,9,2,139.87783360508223,162.18830537443404,East,Food,279.75566721016446,117.56736183573042,2023,10,2023-10
